Month,BL,Lab Location,Customer Name,Score,Reason
Jan-17,Agri,Hyderabad,Cloudtail India Pvt Ltd,5,"Reports not on time, errors, lots of follow-ups. Timely response not provided."
May-17,Agri,Chennai,COROMANDEL INTERNATIONAL LTD,6,Refused to give any reason
May-17,Agri,Indore,cargill India pvt ltd-,6,"Inspection team is not upto the mark, except the Supervisor."
May-17,Agri,Kandla,MAHARASHTRA SOLVENT EXTRACTION (P) LTD.,6,"The management/kandla personnel have not been able to resolve their issues wrt Report issuance, non-GMO Certificates, etc"
May-17,BA,Mumbai Kanjurmarg,Zydus Takeda Healthcare Pvt. Ltd.,1,I am not satisfied with ITS Mumbai team as they don't know how to co-ordinate & schedule the ISO audit. Really am fed up with your process. Always changing the audit date in last minutes. Very lack of co-ordination. And we have decided here after we will discontinue with ITS & go for some other 3rd party. We have not done any ISO audit on 20th April'17.
Apr-17,BA,Delhi,PLACERO INTERNATIONAL,6,There is lot of delays in reports. You promised to release it within 7 days. But I have received after 25 days. I had to send so many reminders and calls. Rest of the services are okay.
May-17,Cargo/AA,Chennai,IMC LTD,5,"Poor interaction of incharge, No ontime delivery of reports & coordination"
Mar-17,Electrical,Bangalore,Guru Amardass International (P) Ltd,1,"Customer is dissatisfied with Intertek's London services as customer felt that he is being ignored. Moreover, customer has found Intertek UK's response to be callous and non-responsive. This customer has applied for ASTA certification of fused plug power cord certification, project for which has been executed from Intertek, UK."
Jan-17,Electrical,Delhi,Sam International,2,Communication is weak
Jan-17,Electrical,Delhi,BSH HOUSEHOLD APPLIANCES MFG PVT LTD,5,Customer has given several orders to Intertek in past but projects were not delivered on time
Feb-17,Electrical,Delhi,SONI RUBBER PRUDUCTS LTD KOLKATA,5,Slow response in getting work done.
May-17,Electrical,Delhi,Gates india private limited,5,"Customer is dissatisfied , shown concern with manpower crisis & undue delay for all activities at the Intertek's end ."
May-17,Electrical,Bangalore,GE POWER CONVERSION INDIA PRIVATE LIMITED,6,TAT as promised was not maintained. Till date we have not received our certificate due to which we are losing our customer.
Feb-17,Food,Hyderabad,SANGAM DAIRY,4,Not receiving invoices and reports on time and no of times getting calls for payment details
Jan-17,Food,Gurgaon,"""Blue Circle Medi Services Pvt Ltd """,5,sampling is not done on time. Reports are not shared on time.
Feb-17,Food,Hyderabad,"Sodexo Food Solutions India Pvt Ltd, Manyata, Bangalore",5,"Delay in reporting, Invoice issues, no proper communication even after follow ups."
Jan-17,Food,Delhi,OM Industry,6,"understanding has to be mutual(which as per mandate,auditors are very stringent & non flexible"
Jan-17,GTS,Mumbai,SELECT MARKETING PVT LTD,5,"Lab testing certificate was wrong. Testing at Intertek Mumbai was done with wrong parameters. The product was re-tested, verified and passed by Intertek lab at Tirupur"
May-17,GTS,Mumbai,IPF Vikram India Ltd (Depot),5,Quality of service has depleted and there seems to be no supervision.
Mar-17,GTS,Mumbai,"ICRC, Delhi",6,"We were very happy with services untill last year. This year, we are very dissatisfied regarding the Rice shipments."
Jan-17,HL,Gurgaon,TRISHUL EXOTIC PVT. LTD.,3,Not happy with inspectors go for inspection. No minor defects are identified eventhough major defects are 15 . Inspectors do not listen to the factory
Apr-17,HL,Gurgaon,VAllabh Metal Inc.,3,"Bad experience, report of this customer was kept on hold due to payment issue. However the same was not intimated to the customer by the credit control (Akhilesh Yadav) & customer service team (Naresh Singh & Garima Sethi). The customer had to followed up with the concerned person for over a week to get the report released. Another report (express mode) was submitted which is due is today - 21st Apr'17 but the login details have not been shared yet."
Jan-17,HL,Gurgaon,Glass World,4,"Not happy with services . Have to chase for reports. Delay in reports, No replies. Payment issues . Stopped working"
Apr-17,HL,Gurgaon,finesco international,5,Customer is facing communication issues with CS team (Report release date/time).
Jan-17,HL,Gurgaon,Vision Exports,6,Service is ok . No problems.
Jan-17,SL,Gurgaon,Cheer Sagar,3,Not satisfied with the service. Shifted business to TUV and BV
Feb-17,SL,Tirupur,FANCY KNITTS,5,"""i) Delays on test reports, maximum getting on 3rd day. ii) Sample acknowledgment receiving on next day for sometimes when the concern CC/team heads on leave. Mostly sample acks receiving in same day evening otherwise next day morning which samples picked around 12 pm on their factories. iii) Not aware of any other contacts when your teams were on leave. iv) No issues on the tests reports. v) Garment package required on same day booking details including Saturdays & reports required on next day. vi) Payment issue: Our reports are hold for outstanding payment. Yesterday only we got the outstanding mail & came to know the payment hold information today only. And our accounts people also on leave today. We are doing the test regularly but holding without any calls/information earlier. Conveyed the same to Cecil today but still reports not issued. """
Jan-17,SL,Gurgaon,Suprint Textiles,6,Happy with services but for saturday inspections vendor has to push the inspectors a lot.
Feb-17,SL,Gurgaon,Jak Leathers,6,Not sending samples due to less orders. Majorly its invoicing issues . Tring to avoid/ignore Intertek . Other labs are doing very well.
Feb-17,SL,Mumbai, East and West handicrafts,6,"Require improvement in lead time of the test report,certain reports are delayed."
Jun-17,SL,Mumbai,TWINKLE CREATION PVT. LTD.,2,"Had bad experience related with Valentino test reports:-Timely response and update was expected , major concern was TAT. Instead of 5-6 working days it took more than 15days, in case of inadequate samples.Buyer got dissatisfied and as a result recommended UL for testing .However customer has assured to be associated with Intertek for new buyer's in pipeline in coming 2-3 months,provided our quote found to be competitive."
Jun-17,SL,Gurgaon,Panorama,3,"Not happy with the services, no revert on time, there is a lack in coordination, protocols not clear. Customer has sent the samples again for testing but faced same issue that time also. Need to trained for coordination then can send samples."
Jun-17,BA,Mumbai,Chaitanya Agrobiotech Pvt Ltd.,3,Coordinator did not coordinate properly. They did not specified anything. We are very much disappointed. Would not at all recommend. Auditor was good and supportive. Giving 3 points only because of the auditor.
Jun-17,HL,Gurgaon,Glass World,4,Customer is unhappy due to delay in communication.
Jun-17,SL,Gurgaon,Kapoor & Co.,4,Too delay in receiving any revert from the coordination. Lack in clear understanding of protocols compare to BV and SGS.
Jun-17,SL,Gurgaon,Super house Ltd safey division,5,Customer is happy with the lab process but faced problems in last two months in releasing test report as without information account's team has hold report (DLST17001784) for payment and payment statement also not updated. Mailed to Mr. Lakulish Bharat (CC) on 16th Feb'2017 regarding some details but still not received any revert from his end. No one has informed about machine breakdown and without prior information sent to China for testing which has costed higher compared to Indian cost. Need to improve communication process before taking any action.
Jun-17,SL,Tirupur, UC WORLD ONLINE LIMITED,5,"Slow service In Inspection, Not much experienced or qualified peoples from Inspection & testing team taking 4 working days for testing. When we asking for urgency you are taking advantage of putting additional charges for physical tests & all. Charges are huge for testing & Inspection."
Jun-17,SL,Tirupur,Reia Fashions,5,Reports are failing with Intertek & passing with other competitors. Otherwise good co-ordination & Timing.
Jun-17,SL,Tirupur,Sweaters India,5,"It’s difficult with your accounts department & sample acknowledgements delayed more than 1 or 2 days so the reports were delayed [Because of Blacklisted]. For 2015th bill, Accounts dept. raising the mail those bills are not cleared till date. Informed with Yabez, we aren’t here to check previous records, If you are finding the problems, anyone can reach us & sit along with their teams to clear the issues in hand to hand, It’s not good to taking 2015th issues now & holding our reports. That time itself have decided we can’t do the business with Intertek. We are working with other testing labs also & nothing faced these type of issues. Only one person is there in my accounts department since it’s small kind of industry, he can make the payment but he couldn’t response all the mails, Whatever pending payments is there can send a mail to them or other than send a person along with your marketing team [Cecil & all] on a month once to clear it. I have struggled to get last two reports because of old bills done in 2015, this is major concern to correct it from your end."
Jun-17,SL,Gurgaon,TCNS LTD,6,Sample testing just started so can't comment more however services are okay and regular.
Jan-17,Agri,Kakinada,PARRY SUGARS REFINERY INDIA PRIVATE LTD,7,"Happy with services but still given 7 since client feels 8, 9 & 10 is delighted score"
Jan-17,Agri,Tuticorin,VEDANTA LTD,7,Need more proactiveness from operations team. Otherwise no issues with job performed
Jan-17,Agri,Tuticorin,INDIAN POTASH LTD,8,No issues with job executed. Need our team to provide information about final survey
Jan-17,Agri,Tuticorin,BHOOMI IMPEX,8,Happy with services but still this score since for recent job client had requested for Inspector & we were unable to send.
Jan-17,Agri,Kolkata,CONCORD FORTUNE MINERALS (INDIA) PVT LTD,8,Reporting should be little fast. Rest services are fine.
Jan-17,Agri,Kolkata, HEMRAJ INDUSTRIES PVT LTD,8,Services provided are satisfactory. But costing per manday basis is high compare to other inspection companies.
Jan-17,Agri,Haldia,Bunge India Pvt Ltd,8,Happy with services but still want to score 8.
Jan-17,Agri,Mumbai,PALADIA CORPORATION,8,Satisfied with services still want to give score of 8.
Jan-17,Agri,Delhi,ALLIANCE GRAIN TRADERS (INDIA) PVT LTD,8,"Job executed smoothly. Information required is provided by staff but takes sometime, not available on immediate basis"
Jan-17,Agri,Hyderabad,ICRISAT,8,Client is happy with services provided so far
Feb-17,Agri,Indore,Ruchi Soya Industries Ltd,8,satisfied with report / services still want to give 8 score
Feb-17,Agri,Indore,MAHAKALI FOODS PVT LTD,8,Satisfied with services still wants to give 8
Mar-17,Agri,Indore,Ruchi Global,8,"Earlier the client was not happy with one of the branch personnel & thus gave score of 6. Immediately we had con- call with Client, our National Operation Manager, Business Director & Branch head. Subsequently client on discussion revised the score to 8, which is revised herein. Further the client has even assured Intertek a new assignment."
Mar-17,BA,Mumbai,Capious Roadtech Pvt. Ltd.,7,Audit is OK but we are not much happy with auditors. Because your auditors are fault finder but not suggesting any ideas how to close the same. We have 3-4 Nc's. And report also pending from your end. If you can clarify our doubt regarding the ISO that will be very helpful to us.
Mar-17,BA,Delhi,Gopal Minerals,7,"I am not very much satisfied with Intertek. Auditors should create the friendly atmosphere. Everything cant be maintained, so they should be little lenient. Lot of little things should be neglected. They pressurize us"
Apr-17,BA,Indore,Ganesh Engineering Works Unit -II,8,Audit is very helpful to us. We had very nice interaction with auditor. He gave us many inputs to updates ourselves. Prior to audit we clarified all doubt regarding the audit procedure.
Apr-17,BA,Indore,SMT. VIDYAWATI GROUP OF INSTITUTIONS,8,Audit is good. Auditor done all the process very clearly & gave many suggestions for improvement. Also he gave some updates about new ISO version 2015. kindly share the checklist for the same for our better understanding.
Jan-17,Cargo/AA,Paradip,SEATRANS MARINE PVT LTD,8,No issues. Happy with services provided
Jan-17,Cargo/AA,Paradip,INDIAN OIL CORPORATION LTD,8,Training to be provided on regular basis to surveyors attending the jobs. Other wise happy with work
Jan-17,Cargo/AA,Jamnagar,ST ANTHONY ENTERPRISES,8,Services are good. No issues. But still like to give 8 score.
Jan-17,Cargo/AA,Jamnagar,PRAKASH CHEM INTPVT LTD,8,Accuracy of results. Had encounter one error in report which was rectify later on.
Jan-17,Cargo/AA,Mangalore,Samudra Marine Services Pvt. Ltd,8,Coordination needs to be improved. Otherwise happy with services provided
Feb-17,Cargo/AA,Mangalore,Mangalore refinery & Petrochemicals Ltd - mangalore,8,No issues or problems working with Intertek but still like to give 8.
Feb-17,Cargo/AA,Mumbai Chandivali,DEEPWATER PACIFIC 1 INC,8,Services provided are good. But communication can be further enhanced.
Feb-17,Cargo/AA,Mumbai Chandivali,NEPTUNUS POWER PLANT SERVICES PVT LTD,8,Services provided are good. Sometimes small errors in report.
Feb-17,Cargo/AA,Mumbai Chandivali,TRANSOCEAN OFFSHORE INTL VENTURES LTD,8,Services provided are good. Communication can be further enhanced
Feb-17,Cargo/AA,Mumbai Chandivali,CHEMIZOL ADDITIVES PVT LTD,8,"Overall good experience but face issue for information sharing. As India team doesn’t have information & needs to get from UK team each time, which is time consuming"
Feb-17,Cargo/AA,Mumbai Chandivali,JINZHOU DPF TH CHEMICALS CO LTD,8,"Overall good experience but face issue for information sharing. As India team doesn’t have information & needs to get from UK team each time, which is time consuming"
Feb-17,Cargo/AA,Mumbai Chandivali,Quaker Chemical India Ltd.,8,Happy with job performed. No issues but still want to give score of 8 since client feels its a good score.
Feb-17,Cargo/AA,Mumbai Chandivali,Pyrotech Workspace Solutions Pvt Ltd,8,There was delay is issuing Final report. Minor corrections were required. Rest everything okay.
Feb-17,Cargo/AA,Kandla,PRAKASH CHEM INT PVT LTD,8,Overall satisfied with services but still want to give score 8.
Feb-17,Cargo/AA,Kandla,HARESH OVERSEAS PRIVATE LIMITED,8,Satisfied with inspection job performed but later on faced some issues in invoice. Hence score of 8.
Apr-17,Cargo/AA,Mumbai Chandivali,TOTAL OIL INDIA LTD,8,satisfied with service but testing charges to be same for our all 4 departments.
Jan-17,Agri,Kakinada,PARRY SUGARS REFINERY INDIA PRIVATE LTD,7,"Happy with services but still given 7 since client feels 8, 9 & 10 is delighted score"
Jan-17,Agri,Tuticorin,VEDANTA LTD,7,Need more proactiveness from operations team. Otherwise no issues with job performed
Jan-17,SL,Gurgaon,Rana Overseas,7,Happy with the services
Jan-17,SL,Gurgaon,Mahajan Overseas,7,Good but delay in reports. After giving complete information in TRF still telephonic calls are happening.
Jan-17,SL,Gurgaon,Matrix Clothing,7,Good service but for small amount of business . If business is more service is not so good.
Jan-17,SL,Gurgaon,Ventures,7,Ok for services . Instructions provided for washcare are missed out at times. Washcare recommendations from technical lab is not crisp . More details are required by lab
Jan-17,SL,Tirupur,Fair N Flair Garments,7,"Good TAT / No orders for Intertek testing since our buyer nominating to do on other labs only [Buyers: Ovs spa, Disney, Kappahl]"
Jan-17,SL,Tirupur,ARTHANARI LOOM CENTRE,7,No issues  
Jan-17,SL,Tirupur,Gahan Knitting Mills,7,Ok with our service / No issues
Jan-17,SL,Mumbai,Sky Industries,7,Response for new test enquiry found to be slow
Jan-17,SL,Mumbai,Skyzz Apparels,7,Require to improve upon TAT 
Jan-17,Food,Hyderabad,"KFC Yum! Restaurants, Rajbhavan, Somajiguda",7,"Everything is fine, except the issue with invoices."
Jan-17,Food,Hyderabad,KKR Flour Mills-Nirapara,7,"Delay in reporting, and without sharing invoices requesting for payments."
Jan-17,Food,Hyderabad,Eastern Condiments Pvt Ltd,7,"Because of delay in reporting, and for one analysis repeat analysis requested, still report not received."
Jan-17,Food,Hyderabad,"Camson Agri Ventures Pvt Ltd, Bangalore",7,"Earlier it is good, but now in spite of follow ups we are not getting the reports in time."
Jan-17,Food,Hyderabad,"Synthite Industries Ltd, Kolenchery, Kerala",7,No issues with us and getting reports on time
Jan-17,Food,Gurgaon,"""Dabur Research & Development Centre """,7,There was slight delay in reports and also little variation in results
Jan-17,Food,Gurgaon,The Himalaya Drug Company,7,"There was a deviation in the result of two same samples, there is lack of follow up."
Jan-17,Food,Gurgaon,Gopaljee Dairy Foods Pvt. Ltd,7,"""everything is good. Satisfied."""
Jan-17,GTS,Mumbai,Paar Global,7,Testing parameters for agri products (rice) are too stringent.
Jan-17,GTS,Mumbai,Crompton greaves consumer electrical limited,7,"Three shipments Inspection done, material was same but there is no consistency in report"
Jan-17,GTS,Mumbai,ACARA BIOHERB PRIVATE LIMITED,7,Many of the requirements are impractical and complicated. Intertek must provide a checklist of contractual requirements. (EGY).
Jan-17,GTS,Mumbai Suren Road,Crompton greaves consumer electrical limited,7,"Three shipments Inspection done, material was same but there is no consistency in report"
